index,sw_ticks,qpc_position,device_position,frames,flags
328,2531075216100,2531075294836,78114720,480,0
329,2531075216405,2531075400921,78115200,480,0
330,2531075367453,2531075495746,78115680,480,0
331,2531075532822,2531075596112,78116160,480,0
332,2531075532906,2531075702418,78116640,480,0
333,2531075693576,2531075799338,78117120,480,0
334,2531075693632,2531075898539,78117600,480,0
335,2531075843777,2531075997949,78118080,480,0
336,2531076005725,2531076098412,78118560,480,0
337,2531076005785,2531076199330,78119040,480,0
338,2531076155326,2531076299424,78119520,480,0
339,2531076311998,2531076401827,78120000,480,0
340,2531076312058,2531076501001,78120480,480,0
341,2531076463436,2531076596621,78120960,480,0
342,2531076619732,2531076702583,78121440,480,0
343,2531076619797,2531076798080,78121920,480,0
344,2531076774593,2531076899349,78122400,480,0
345,2531076774665,2531077000096,78122880,480,0
346,2531076924221,2531077095423,78123360,480,0
347,2531077088671,2531077196336,78123840,480,0
348,2531077088733,2531077302125,78124320,480,0
349,2531077254885,2531077397705,78124800,480,0
350,2531077408380,2531077501302,78125280,480,0
351,2531077408449,2531077597164,78125760,480,0
352,2531077570568,2531077697552,78126240,480,0
353,2531077570622,2531077798706,78126720,480,0
354,2531077724527,2531077898604,78127200,480,0
355,2531077882091,2531078001161,78127680,480,0
356,2531077882178,2531078099668,78128160,480,0
357,2531078040255,2531078200344,78128640,480,0
358,2531078188430,2531078295702,78129120,480,0
359,2531078188477,2531078401249,78129600,480,0
360,2531078343130,2531078497489,78130080,480,0
361,2531078503586,2531078597061,78130560,480,0
362,2531078503646,2531078697833,78131040,480,0
363,2531078654349,2531078798360,78131520,480,0
364,2531078811675,2531078893458,78132000,480,0
365,2531078811760,2531078999835,78132480,480,0
366,2531078975309,2531079095540,78132960,480,0
367,2531078975374,2531079201593,78133440,480,0
368,2531079131704,2531079296519,78133920,480,0
369,2531079279501,2531079405832,78134400,480,0
370,2531079279618,2531079497483,78134880,480,0
371,2531079438367,2531079600299,78135360,480,0
372,2531079590444,2531079699562,78135840,480,0
373,2531079590545,2531079799788,78136320,480,0
374,2531079741142,2531079895244,78136800,480,0
375,2531079898587,2531080001141,78137280,480,0
376,2531079898649,2531080097213,78137760,480,0
377,2531080056977,2531080197949,78138240,480,0
378,2531080206979,2531080293906,78138720,480,0
379,2531080207038,2531080399726,78139200,480,0
380,2531080363013,2531080499972,78139680,480,0
381,2531080517979,2531080595981,78140160,480,0
382,2531080518076,2531080701817,78140640,480,0
383,2531080674435,2531080797934,78141120,480,0
384,2531080674491,2531080898231,78141600,480,0
385,2531080829422,2531080997866,78142080,480,0
386,2531080993287,2531081099102,78142560,480,0
387,2531080993352,2531081199688,78143040,480,0
388,2531081145751,2531081299779,78143520,480,0
389,2531081302886,2531081400175,78144000,480,0
390,2531081302945,2531081501618,78144480,480,0
391,2531081460472,2531081597273,78144960,480,0
392,2531081609383,2531081703512,78145440,480,0
393,2531081609427,2531081799159,78145920,480,0
394,2531081777061,2531081899978,78146400,480,0
395,2531081777145,2531082000242,78146880,480,0
396,2531081932340,2531082095834,78147360,480,0
397,2531082089643,2531082201622,78147840,480,0
398,2531082089710,2531082302021,78148320,480,0
399,2531082254035,2531082397373,78148800,480,0
400,2531082412630,2531082502303,78149280,480,0
401,2531082412727,2531082597441,78149760,480,0
402,2531082560119,2531082698148,78150240,480,0
403,2531082718072,2531082800010,78150720,480,0
404,2531082718149,2531082900498,78151200,480,0
405,2531082868751,2531083001014,78151680,480,0
406,2531083028625,2531083097059,78152160,480,0
407,2531083029445,2531083202709,78152640,480,0
408,2531083184782,2531083298491,78153120,480,0
409,2531083184837,2531083398667,78153600,480,0
410,2531083337042,2531083499089,78154080,480,0
411,2531083491631,2531083599875,78154560,480,0
412,2531083491677,2531083700499,78155040,480,0
413,2531083647462,2531083798052,78155520,480,0
414,2531083803532,2531083898591,78156000,480,0
415,2531083803604,2531083998962,78156480,480,0
416,2531083955299,2531084099422,78156960,480,0
417,2531084108068,2531084199742,78157440,480,0
418,2531084108136,2531084300249,78157920,480,0
419,2531084256745,2531084395453,78158400,480,0
420,2531084425540,2531084501192,78158880,480,0
421,2531084425606,2531084596636,78159360,480,0
422,2531084580242,2531084702392,78159840,480,0
423,2531084580309,2531084793270,78160320,480,0
424,2531084735549,2531084899330,78160800,480,0
425,2531084892311,2531084999299,78161280,480,0
426,2531084892370,2531085100338,78161760,480,0
427,2531085045662,2531085196069,78162240,480,0
428,2531085207629,2531085301055,78162720,480,0
429,2531085207692,2531085396948,78163200,480,0
430,2531085365376,2531085502361,78163680,480,0
431,2531085512922,2531085601582,78164160,480,0
432,2531085512986,2531085697342,78164640,480,0
433,2531085683338,2531085797722,78165120,480,0
434,2531085683412,2531085902387,78165600,480,0
435,2531085834470,2531086001389,78166080,480,0
436,2531085984631,2531086095889,78166560,480,0
437,2531085984700,2531086202197,78167040,480,0
438,2531086283125,2531086297338,78167520,480,0
439,2531086283179,2531086397592,78168000,480,0
440,2531086283195,2531086498469,78168480,480,0
441,2531086455683,2531086600723,78168960,480,0
442,2531086704531,2531086699721,78169440,480,0
443,2531086704585,2531086800335,78169920,480,0
444,2531086704609,2531086895997,78170400,480,0
445,2531086779295,2531087001781,78170880,480,0
446,2531086911039,2531087097038,78171360,480,0
447,2531087073392,2531087203478,78171840,480,0
448,2531087073431,2531087298181,78172320,480,0
449,2531087216328,2531087399628,78172800,480,0
450,2531087371193,2531087499660,78173280,480,0
451,2531087527119,2531087599967,78173760,480,0
452,2531087527194,2531087696686,78174240,480,0
453,2531087677471,2531087797050,78174720,480,0
454,2531087677544,2531087902135,78175200,480,0
455,2531087830448,2531087997619,78175680,480,0
456,2531087990740,2531088098280,78176160,480,0
457,2531087990795,2531088198387,78176640,480,0
458,2531088146273,2531088298791,78177120,480,0
459,2531088307386,2531088399630,78177600,480,0
460,2531088307460,2531088499770,78178080,480,0
461,2531088452517,2531088600066,78178560,480,0
462,2531088612461,2531088695361,78179040,480,0
463,2531088612533,2531088796312,78179520,480,0
464,2531088770872,2531088902116,78180000,480,0
465,2531088770949,2531088997274,78180480,480,0
466,2531088927558,2531089097557,78180960,480,0
467,2531089079930,2531089198118,78181440,480,0
468,2531089079971,2531089298518,78181920,480,0
469,2531089235309,2531089398568,78182400,480,0
470,2531089390019,2531089498802,78182880,480,0
471,2531089390097,2531089599018,78183360,480,0
472,2531089546559,2531089699640,78183840,480,0
473,2531089702860,2531089800022,78184320,480,0
474,2531089702913,2531089895216,78184800,480,0
475,2531089861878,2531090000624,78185280,480,0
476,2531090017524,2531090095862,78185760,480,0
477,2531090017563,2531090201409,78186240,480,0
478,2531090172827,2531090296980,78186720,480,0
479,2531090330810,2531090401975,78187200,480,0
480,2531090330897,2531090497465,78187680,480,0
481,2531090481953,2531090598362,78188160,480,0
482,2531090482020,2531090698771,78188640,480,0
483,2531090636997,2531090799247,78189120,480,0
484,2531090793581,2531090899257,78189600,480,0
485,2531090793644,2531090999650,78190080,480,0
486,2531090951305,2531091094914,78190560,480,0
487,2531091112310,2531091200288,78191040,480,0
488,2531091112404,2531091295900,78191520,480,0
489,2531091268425,2531091401377,78192000,480,0
490,2531091424786,2531091496775,78192480,480,0
491,2531091424867,2531091596728,78192960,480,0
492,2531091573695,2531091702181,78193440,480,0
493,2531091733987,2531091802545,78193920,480,0
