index,sw_ticks,qpc_position,device_position,frames,flags,phase
256,2586802374884,2586802496903,345605280,480,0,0
257,2586802375224,2586802602292,345605760,480,0,0
258,2586802529277,2586802697327,345606240,480,0,0
259,2586802685574,2586802802835,345606720,480,0,0
260,2586802685633,2586802898014,345607200,480,0,0
261,2586802840861,2586802998681,345607680,480,0,0
262,2586802995580,2586803093858,345608160,480,0,0
263,2586802995640,2586803199390,345608640,480,0,0
264,2586803161742,2586803294455,345609120,480,0,0
265,2586803316201,2586803400164,345609600,480,0,0
266,2586803316233,2586803500756,345610080,480,0,0
267,2586803473094,2586803595788,345610560,480,0,0
268,2586803473147,2586803701244,345611040,480,0,0
269,2586803628289,2586803796474,345611520,480,0,0
270,2586803784106,2586803902193,345612000,480,0,0
271,2586803784129,2586803997734,345612480,480,0,0
272,2586803944948,2586804093272,345612960,480,0,0
273,2586804101269,2586804198572,345613440,480,0,0
274,2586804101342,2586804293790,345613920,480,0,0
275,2586804256684,2586804394174,345614400,480,0,0
276,2586804413371,2586804501619,345614880,480,0,0
277,2586804413417,2586804596542,345615360,480,0,0
278,2586804570271,2586804702036,345615840,480,0,0
279,2586804570329,2586804797403,345616320,480,0,0
280,2586804725084,2586804897825,345616800,480,0,0
281,2586804875844,2586804998563,345617280,480,0,0
282,2586804875903,2586805093599,345617760,480,0,0
283,2586805030764,2586805199222,345618240,480,0,0
284,2586805183038,2586805294453,345618720,480,0,0
285,2586805183082,2586805395044,345619200,480,0,0
286,2586805337874,2586805501075,345619680,480,0,0
287,2586805493525,2586805596805,345620160,480,0,0
288,2586805493588,2586805696552,345620640,480,0,0
289,2586805648356,2586805801920,345621120,480,0,0
290,2586805804578,2586805897345,345621600,480,0,0
291,2586805804637,2586805997814,345622080,480,0,0
292,2586805961281,2586806093069,345622560,480,0,0
293,2586806120739,2586806198621,345623040,480,0,0
294,2586806120783,2586806293728,345623520,480,0,0
295,2586806281292,2586806394112,345624000,480,0,0
296,2586806281326,2586806500047,345624480,480,0,0
297,2586806437452,2586806595167,345624960,480,0,0
298,2586806598835,2586806700548,345625440,480,0,0
299,2586806598871,2586806795679,345625920,480,0,0
300,2586806752204,2586806901592,345626400,480,0,0
301,2586806908580,2586806996736,345626880,480,0,0
302,2586806908629,2586807102302,345627360,480,0,0
303,2586807059877,2586807197481,345627840,480,0,0
304,2586807219645,2586807292881,345628320,480,0,0
305,2586807219830,2586807398266,345628800,480,0,0
306,2586807375932,2586807498976,345629280,480,0,0
307,2586807375970,2586807594217,345629760,480,0,0
308,2586807531301,2586807700007,345630240,480,0,0
309,2586807691981,2586807794985,345630720,480,0,0
310,2586807692052,2586807900489,345631200,480,0,0
311,2586807843488,2586808000941,345631680,480,0,0
312,2586808003659,2586808096064,345632160,480,0,0
313,2586808003688,2586808201437,345632640,480,0,0
314,2586808158351,2586808296846,345633120,480,0,0
315,2586808314463,2586808402238,345633600,480,0,0
316,2586808314506,2586808497638,345634080,480,0,0
317,2586808470262,2586808603069,345634560,480,0,0
318,2586808470320,2586808698200,345635040,480,0,0
319,2586808620788,2586808793333,345635520,480,0,0
320,2586808769529,2586808893719,345636000,480,0,0
321,2586808930218,2586808999260,345636480,480,0,0
322,2586808930264,2586809094520,345636960,480,0,0
323,2586809082346,2586809200188,345637440,480,0,0
324,2586809082428,2586809295247,345637920,480,0,0
325,2586809238739,2586809397244,345638400,480,0,0
326,2586809400032,2586809498056,345638880,480,0,0
327,2586809400084,2586809593442,345639360,480,0,0
328,2586809560257,2586809698704,345639840,480,0,0
329,2586809715553,2586809793833,345640320,480,0,0
330,2586809715603,2586809894145,345640800,480,0,0
331,2586809882622,2586809999538,345641280,480,0,0
332,2586809882687,2586810094743,345641760,480,0,0
333,2586810032077,2586810200288,345642240,480,0,0
334,2586810192709,2586810295398,345642720,480,0,0
335,2586810192754,2586810401444,345643200,480,0,0
336,2586810348077,2586810496229,345643680,480,0,0
337,2586810503598,2586810601721,345644160,480,0,0
338,2586810503645,2586810697223,345644640,480,0,0
339,2586810658775,2586810802280,345645120,480,0,0
340,2586810814544,2586810897672,345645600,480,0,0
341,2586810814591,2586810998634,345646080,480,0,0
342,2586810971087,2586811093470,345646560,480,0,0
343,2586810971141,2586811198990,345647040,480,0,0
344,2586811120487,2586811294104,345647520,480,0,0
345,2586811281237,2586811394373,345648000,480,0,0
346,2586811281279,2586811500320,345648480,480,0,0
347,2586811437013,2586811595247,345648960,480,0,0
348,2586811586778,2586811700503,345649440,480,0,0
349,2586811586835,2586811795646,345649920,480,0,0
350,2586811741523,2586811901717,345650400,480,0,0
351,2586811900955,2586811996782,345650880,480,0,0
352,2586811901005,2586812102070,345651360,480,0,0
353,2586812060061,2586812197541,345651840,480,0,0
354,2586812215041,2586812304299,345652320,480,0,0
355,2586812215090,2586812398149,345652800,480,0,0
356,2586812376395,2586812499269,345653280,480,0,0
357,2586812376435,2586812594286,345653760,480,0,0
358,2586812532168,2586812699760,345654240,480,0,0
359,2586812682584,2586812795031,345654720,480,0,0
360,2586812682791,2586812900569,345655200,480,0,0
361,2586812836664,2586812996090,345655680,480,0,0
362,2586812992328,2586813101593,345656160,480,0,0
363,2586812992382,2586813196711,345656640,480,0,0
364,2586813149053,2586813302051,345657120,480,0,0
365,2586813304678,2586813397412,345657600,480,0,0
366,2586813304718,2586813497738,345658080,480,0,0
367,2586813459521,2586813593260,345658560,480,0,0
368,2586813620310,2586813698837,345659040,480,0,0
369,2586813620346,2586813793616,345659520,480,0,0
370,2586813784533,2586813893942,345660000,480,0,0
371,2586813784567,2586813999378,345660480,480,0,0
372,2586813946322,2586814094585,345660960,480,0,0
373,2586814097109,2586814199902,345661440,480,0,0
374,2586814097159,2586814295122,345661920,480,0,0
375,2586814252052,2586814400643,345662400,480,0,0
376,2586814407563,2586814495841,345662880,480,0,0
377,2586814407620,2586814601341,345663360,480,0,0
378,2586814563586,2586814696518,345663840,480,0,0
379,2586814723555,2586814801877,345664320,480,0,0
380,2586814723620,2586814897289,345664800,480,0,0
381,2586814874326,2586814997459,345665280,480,0,0
382,2586814874378,2586815102797,345665760,480,0,0
383,2586815029555,2586815198095,345666240,480,0,0
384,2586815185574,2586815293171,345666720,480,0,0
385,2586815185639,2586815393439,345667200,480,0,0
386,2586815337061,2586815499928,345667680,480,0,0
387,2586815487748,2586815594963,345668160,480,0,0
388,2586815487784,2586815700346,345668640,480,0,0
389,2586815648639,2586815795522,345669120,480,0,0
390,2586815803157,2586815902315,345669600,480,0,0
391,2586815803205,2586815996484,345670080,480,0,0
392,2586815958792,2586816101890,345670560,480,0,0
393,2586816110255,2586816197028,345671040,480,0,0
394,2586816110306,2586816302399,345671520,480,0,0
395,2586816270826,2586816397808,345672000,480,0,0
396,2586816270900,2586816498743,345672480,480,0,0
397,2586816425918,2586816593596,345672960,480,0,0
398,2586816585961,2586816699426,345673440,480,0,0
399,2586816586014,2586816794396,345673920,480,0,0
400,2586816736195,2586816894589,345674400,480,0,0
401,2586816893609,2586817000249,345674880,480,0,0
402,2586816893683,2586817095336,345675360,480,0,0
403,2586817044571,2586817200856,345675840,480,0,0
404,2586817197933,2586817296149,345676320,480,0,0
405,2586817197986,2586817401705,345676800,480,0,0
406,2586817358933,2586817496958,345677280,480,0,0
407,2586817519851,2586817602524,345677760,480,0,0
